municipality,unit,producer,sector,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
Isokyrö,Isonkyrön kotipalvelu,Isokyrö,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,21.00,17.66
Jalasjärvi,Jalasjärven kotihoito,JIK-peruspalveluliikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,30.60,29.87
Janakkala,"Kotihoito, Tervakosken alue",Janakkala,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,13.30,13.93
Janakkala,"Kotihoito, Turengin alue",Janakkala,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,25.70,22.63
Janakkala,Kotihoito,Janakkalan Palvelutalosäätiö,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,2.10,1.48
Joensuu,"Joensuu, kotihoito Eteläinen keskusta",Joensuun yhteistoiminta-alue,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,34.90,25.68
Joensuu,Akson hoivapalvelut,Kotiapu ja Hoitopalvelut Katja,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,10.40,8.10
Joensuu,Hoito ja Hoiva,Pohjois-Karjalan Napakka Osuuskunta ,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,11.75,6.92
Joensuu,JoenOnni Oy,JoenOnni Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,13.05,10.02
Joensuu,Joensuu Kotihoito Eno,Joensuun yhteistoiminta-alue,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,24.80,20.36
Joensuu,Joensuun kaupungin Pohjoinen keskusta kotihoito,Joensuun yhteistoiminta-alue,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,43.80,36.63
Joensuu,Kotihoito,Hoitokoti Piritta Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Ei koskaan,Kyllä,Kyllä,Kyllä,1.00,0.21
Joensuu,Niinivaaran kotihoito,Joensuun yhteistoiminta-alue,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,39.50,34.71
Joensuu,Rantakylä-Karsikko kotihoito,Joensuun yhteistoiminta-alue,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Ei,35.30,29.53
Joensuu,Vaarat-Pyhäselkä kotihoito,Joensuun yhteistoiminta-alue,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,27.10,23.35
Joensuu,Vetrea Terveys Oy Joensuu / kotipalvelut,Vetrea Terveys Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,9.50,9.04
Jokioinen,Jokioisten kotihoito,Forssan seudun hyvinvointikuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,23.00,19.44
Joroinen,Joroisten kotihoito,Varkauden ja Joroisen yhteistoiminta-alue,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,31.90,24.04
Joutsa,Joutsan kotihoito,Joutsa,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,21.15,17.42
Juankoski,Elinan kotipalvelu,Elinan Kotipalvelu ay,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Ei,Ei,3.50,2.98
Juankoski,Juankosken Kotihoitopalvelut,Juankoski,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,27.00,22.61
Juuka,Juuan kunta kotihoito,Juuka,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Ei yhtäkään,Jatkuvasti,Kyllä,Kyllä,Ei,34.45,23.61
Juva,Juvan Kodinonni Oy / kotihoito,Juvan Kodinonni Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,7.80,4.57
Juva,Juvan kotihoito,Juva,Julkinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,32.00,24.88
Jyväskylä,"Keljo, Keltinmäki, Mattilanpelto kotihoito",Telkänhoiva Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,17.60,15.77
Jyväskylä,"Kotihoito / Tikkakoski, Haukkamäki, pohjoinen Palokka",Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Ei yhtäkään,Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,25.00,24.57
Jyväskylä,"Kotihoito Mäki-Matti, Laajavuori, Kortepohja",Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,31.50,25.82
Jyväskylä,"Kotihoito Tourula, Jkl",Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,26.00,25.06
Jyväskylä,"Kotihoito, yksityinen",Jyvässeudun Hoivapalvelut Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,3.05,3.34
Jyväskylä,"Palvelukeskus Metsola, Kotiväylä",Kuurojen Palvelusäätiö,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,1.20,1.25
Jyväskylä,Hoivapörssi Oy,Hoivapörssi Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,15.20,3.08
Jyväskylä,Hyvän Olon Piste,Jyväskylän Hyvän Olon Piste Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,17.20,10.28
Jyväskylä,Jyväskylän kotihoito,Coronaria Hoitoketju Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,7.05,6.51
Jyväskylä,Jyväskylän Kotihoito,Mainio Vire Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,12.00,13.28
Jyväskylä,Korpilahti-Säynätsalon kotihoito,Jyväskylä,Julkinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,28.70,26.50
Jyväskylä,Kotihoito Halssila-Kuokkala,Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,21.60,17.37
Jyväskylä,Kotihoito Kypärämäki-Kuohu,Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,21.58,17.69
Jyväskylä,Kotihoito Lohikoski Palokan keskusta,Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Ei yhtäkään,Ei yhtäkään,Usein,Ei,Ei,Ei,27.00,9.98
Jyväskylä,Kotihoito Vaajakoski-Jyskä,Jyväskylä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,43.10,
Jyväskylä,Lutakon kotihoito,Jyvässeudun Hoivapalvelut Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,11.62,11.33
Jyväskylä,Parempaa Oloa Päivään JKL Oy,Parempaa Oloa Päivään JKL Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,3.60,2.41
Jyväskylä,Turva- ja vuorohoito,Jyväskylä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Ei koskaan,Ei,Ei,Kyllä,25.95,21.02
Jyväskylä,Viitahelmi,Viitahoiva Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Ei,Ei,11.25,9.10
Jyväskylä,Ydinkeskustan kotihoito,Telkänhoiva Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,22.50,21.66
Jämijärvi,Kotihoito / Jämijärvi,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Ei,Ei,6.50,4.52
Jämsä,Hallin kotihoito,Jämsä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,7.90,8.06
Jämsä,Kotihoito Jämsänkoski-Koskenpää,Jämsä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,12.95,13.41
Jämsä,Kotisairaanhoito Hermiina Oy,Kotisairaanhoito Hermiina Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,4.60,3.43
Jämsä,Länkipohjan kotihoito,Jämsä,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,5.00,4.77
Jämsä,Palomäen kotihoito,Jämsä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,10.95,9.77
Jämsä,Saksalan palveluasunnot ja Kotimäen ryhmäkoti,Jämsä,Julkinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,9.45,7.99
Jämsä,Viiskulman kotihoito,Jämsä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,8.73,9.73
Järvenpää,Hoivapalvelu Anneliina Oy,Hoivapalvelu Anneliina Oy,Yksityinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,3.30,2.03
Järvenpää,Järvenpään kaupungin kotihoito,Järvenpää,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,60.50,57.71
Järvenpää,Järvenpään Kotihoitajat Oy,Järvenpään Kotihoitajat Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,6.80,2.72
Järvenpää,Tammistokoti,Järvenpää,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,6.60,5.72
Kaarina,Kaarinan kotihoito,Kaarina,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,50.00,41.99
Kaarina,Vanamo,Kaarina,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,5.75,5.40
Kaavi,Kaavin kotihoito,Kaavi,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,13.30,10.44
Kajaani,"Arvola II, kotihoito",Kajaanin Arvola-koti ry,Yksityinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,6.15,5.93
Kajaani,Eteläinen kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,58.35,41.78
Kajaani,Kotihoito Pohjoinen,Kainuun sosiaali- ja terveyskuntayhtymä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,63.25,48.80
Kajaani,Kotipalvelu Aurinkoinen,Kotipalvelu Auringolla Oy,Yksityinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Jatkuvasti,Ei,Ei,Ei,5.00,3.45
Kajaani,Vuolijoen kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,17.00,15.78
Kalajoki,Kotiin annettavat palvelut / Kotihoito Kalajoki,Kalajoen ja Merijärven yta,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,53.20,46.73
Kangasala,Kangasalan kotihoito,Kangasala,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,96.90,80.35
Kangasniemi,Kotihoito,Kangasniemi,Julkinen,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,35.50,27.93
Kankaanpää,Kotihoito / Kankaanpää / Keskustan tiimi,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,11.50,9.49
Kankaanpää,Kotihoito / Kankaanpää / Luoman tiimi,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Ei,Ei,11.00,7.79
Kankaanpää,Kotihoito / Kankaanpää / Myllyn tiimi,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,15.50,11.59
Kankaanpää,Kotihoito / Karvia,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Ei,Ei,9.65,7.64
Kannonkoski,Kannonkosken kotihoito,Perusturvaliikelaitos Saarikka,Julkinen,Oma toimintayksikkömme tuotti palvelun,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,5.50,4.66
Kannus,Kotihoito Kannus,Keski-Pohjanmaan shp / Peruspalveluliikelaitos JYTA,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,22.20,18.78
Karkkila,Karkkilan kotihoito,Perusturva-ky Karviainen,Julkinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Useat (1/3-2/3 asiakkaista),Ei yhtäkään,Joskus,Kyllä,Ei,Ei,30.50,26.87
Karstula,Karstulan kotihoito,Perusturvaliikelaitos Saarikka,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,11.00,10.75
Kaskinen,Kaskisen kotihoito,Kaskinen,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Kyllä,6.00,4.77
Kauhajoki,Kauhajoen kotihoito,Suupohjan peruspalveluliikelaitoskuntayhtymä,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Ei,55.80,49.66
Kauhava,Kortesjärven kotihoito,Ky Kaksineuvoinen,Julkinen,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,10.15,10.21
Kauhava,Kotihoito Alahärmä,Ky Kaksineuvoinen,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,10.50,10.71
Kauhava,Vanhan Kauhavan kotihoito,Ky Kaksineuvoinen,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,42.00,38.45
Kauhava,Ylihärmä kotihoito,Ky Kaksineuvoinen,Julkinen,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,17.35,15.87
Kauniainen,Kauniaisten kotihoito,Kauniainen,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Kyllä,21.00,18.51
Kaustinen,Kaustisen kotihoito,Keski-Pohjanmaan shp / Peruspalveluliikelaitos JYTA,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,13.05,12.36
Kaustinen,Kotihoito Halsua-Kaustinen-Veteli,Keski-Pohjanmaan shp / Peruspalveluliikelaitos JYTA,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Ei,18.30,24.42
Keitele,Keiteleen kotihoito / kotisairaanhoito,Keitele,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Ei yhtäkään,Joskus,Ei,Kyllä,Ei,2.00,1.95
Keitele,Keiteleen kotipalvelu,Keitele,Julkinen,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,5.30,7.02
Kemi,Eteläinen kotihoito,Kemi,Julkinen,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,33.60,26.37
